1064064729,16236971605,1892429836,2056695104
1058918419,3924123666,1903373808,2001374568
1076533859,11877163508,1895618900,2002170745
1059649669,3903684405,1931965261,2013399427
1060273832,8009458858,1921595844,1984789442
1061112746,16134065097,1921669341,1985623310
1059496200,16615843538,1891408240,2022468985
1061309391,8261136498,1972240896,1991044356
1066811950,4042029582,1907726114,2013075024
1067745706,3917396887,1979166886,1955659478
1058097364,21006028502,1886611832,2042703308
1067208798,3970224412,1921018189,2009419865
1064624037,3970933514,1913652034,2023820779
1055048333,3791731208,1899186643,2031977745
1072438599,5733222914,1901394836,2035358107
1064447965,20641124567,1959695124,1959552090
1067866200,16378381746,1979611090,2000207751
1064680138,5281810311,1948659338,2011557301
1061988789,3899284761,1925119291,2001906590
1057185038,4038948386,1973230857,3060999801
1060476343,5850580433,2895091241,2084732578
1061172826,16997458126,1907242395,2025250690
1060994627,3790031056,1920731440,2013506602
1060587150,3831287234,1923092314,2037395237
1058176981,5674078094,1944668091,1962775898
1065594237,5470773178,1932622408,2028477020
1053353114,5599839909,1931570549,2023302742
1067181675,17822414522,1932894401,2021042746
1069288938,4345259946,1949956132,1976440922
1065416459,3867733877,1919246753,1980929172
1069868115,5115068077,2957516315,1958112993
1061933555,18967611987,1964592006,1968901065
