spire,period,label
2,1,no_drift
2,2,systematic
2,1,systematic
2,2,no_drift
2,3,systematic
2,1,systematic
2,2,no_drift
2,3,systematic
5,1,no_drift
5,2,no_drift
5,1,no_drift
5,2,no_drift
5,3,no_drift
5,1,no_drift
5,2,no_drift
5,3,no_drift
6,1,no_drift
6,2,no_drift
6,1,no_drift
6,2,no_drift
6,3,no_drift
6,1,no_drift
6,2,no_drift
6,3,no_drift
7,1,no_drift
7,2,anomalous
7,1,no_drift
7,2,no_drift
7,3,anomalous
7,1,no_drift
7,2,no_drift
7,3,anomalous
8,1,no_drift
8,2,no_drift
8,1,anomalous
8,2,no_drift
8,3,no_drift
8,1,anomalous
8,2,no_drift
8,3,no_drift
9,1,anomalous
9,2,no_drift
9,1,no_drift
9,2,no_drift
9,3,no_drift
9,1,no_drift
9,2,anomalous
9,3,no_drift
10,1,no_drift
10,2,no_drift
10,1,no_drift
10,2,no_drift
10,3,no_drift
10,1,no_drift
10,2,no_drift
10,3,no_drift
11,1,systematic
11,2,systematic
11,1,systematic
11,2,anomalous
11,3,systematic
11,1,systematic
11,2,systematic
11,3,systematic
12,1,systematic
12,2,systematic
12,1,systematic
12,2,anomalous
12,3,systematic
12,1,systematic
12,2,systematic
12,3,systematic
13,1,systematic
13,2,systematic
13,1,systematic
13,2,no_drift
13,3,systematic
13,1,systematic
13,2,systematic
13,3,systematic
14,1,anomalous
14,2,systematic
14,1,systematic
14,2,no_drift
14,3,systematic
14,1,systematic
14,2,anomalous
14,3,systematic
15,1,anomalous
15,2,no_drift
15,1,no_drift
15,2,no_drift
15,3,no_drift
15,1,no_drift
15,2,anomalous
15,3,no_drift
16,1,no_drift
16,2,systematic
16,1,no_drift
16,2,no_drift
16,3,systematic
16,1,no_drift
16,2,no_drift
16,3,systematic
17,1,anomalous
17,2,no_drift
17,1,no_drift
17,2,no_drift
17,3,no_drift
17,1,no_drift
17,2,anomalous
17,3,no_drift
18,1,no_drift
18,2,systematic
18,1,systematic
18,2,no_drift
18,3,systematic
18,1,systematic
18,2,no_drift
18,3,systematic
19,1,no_drift
19,2,no_drift
19,1,no_drift
19,2,no_drift
19,3,no_drift
19,1,no_drift
19,2,no_drift
19,3,no_drift
20,1,anomalous
20,2,no_drift
20,1,no_drift
20,2,no_drift
20,3,no_drift
20,1,no_drift
20,2,anomalous
20,3,no_drift
21,1,no_drift
21,2,no_drift
21,1,no_drift
21,2,no_drift
21,3,no_drift
21,1,no_drift
21,2,no_drift
21,3,no_drift
270,1,systematic
270,2,systematic
270,1,systematic
270,2,no_drift
270,3,systematic
270,1,systematic
270,2,systematic
270,3,systematic
271,1,anomalous
271,2,no_drift
271,1,no_drift
271,2,no_drift
271,3,no_drift
271,1,no_drift
271,2,anomalous
271,3,no_drift
275,1,anomalous
275,2,no_drift
275,1,no_drift
275,2,no_drift
275,3,no_drift
275,1,no_drift
275,2,anomalous
275,3,no_drift
276,1,no_drift
276,2,no_drift
276,1,no_drift
276,2,no_drift
276,3,no_drift
276,1,no_drift
276,2,no_drift
276,3,no_drift
277,1,no_drift
277,2,no_drift
277,1,no_drift
277,2,no_drift
277,3,no_drift
277,1,no_drift
277,2,no_drift
277,3,no_drift
279,1,no_drift
279,2,no_drift
279,1,no_drift
279,2,no_drift
279,3,no_drift
279,1,no_drift
279,2,no_drift
279,3,no_drift
344,1,no_drift
344,2,no_drift
344,1,no_drift
344,2,no_drift
344,3,no_drift
344,1,no_drift
344,2,no_drift
344,3,no_drift
345,1,systematic
345,2,systematic
345,1,systematic
345,2,systematic
345,3,systematic
345,1,systematic
345,2,systematic
345,3,systematic
347,1,no_drift
347,2,systematic
347,1,systematic
347,2,no_drift
347,3,systematic
347,1,systematic
347,2,no_drift
347,3,systematic
348,1,no_drift
348,2,systematic
348,1,systematic
348,2,no_drift
348,3,systematic
348,1,systematic
348,2,no_drift
348,3,systematic
349,1,no_drift
349,2,no_drift
349,1,systematic
349,2,no_drift
349,3,no_drift
349,1,systematic
349,2,no_drift
349,3,no_drift
351,1,systematic
351,2,systematic
351,1,systematic
351,2,systematic
351,3,systematic
351,1,systematic
351,2,systematic
351,3,systematic
352,1,no_drift
352,2,systematic
352,1,systematic
352,2,no_drift
352,3,systematic
352,1,systematic
352,2,no_drift
352,3,systematic
353,1,no_drift
353,2,no_drift
353,1,no_drift
353,2,no_drift
353,3,no_drift
